id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,away_id,away_team,away_conference,away_points,away_post_win_prob,excitement_index,team,opponent,team_points,opp_points,win_loss,stadium_lat,stadium_lon,stadium_zip,UL_lat,UL_lon,UL_zip,dist_m,dist_km,dist_mi,MOV,game_dt,game_id,school,conference,home_away,points,total_yards,net_passing_yards,completion_attempts,passing_tds,yards_per_pass,passes_intercepted,interception_yards,interception_tds,rushing_attempts,rushing_yards,rush_tds,yards_per_rush_attempt,first_downs,down3_success,down3_attempts,down4_success,down4_attempts,punt_returns,punt_return_yards,punt_return_tds,kick_return_yards,kick_return_tds,kick_returns,kicking_points,fumbles_recovered,fumbles_lost,total_fumbles,tackles,tackles_for_loss,sacks,qb_hurries,interceptions,passes_deflected,turnovers,defensive_tds,penalties,penalty_yardage,possession_time,down3_eff,down4_eff,penalties_yards_total
400756954,2015,7,regular,2015-10-17T12:00:00.000Z,,FALSE,TRUE,71225,3697,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,41,0.951450997128774,97,Louisville,ACC,21,0.04854900287122599,4.1491264317,Louisville,Florida State,21,41,L,30.4382,84.3044,32301,38.2061,85.7588,40209,874957.930610585,874.957930610585,543.67348430143,-20,2015-10-17,400756954,Louisville,ACC,away,21,406,307,20-35,3,8.8,,,,30,99,0,3.3,20,9,15,0,1,,,,76,0,5,3,0,1,,,,,,1,,2,,9,84,25:43,9-15,0-1,9-84
400756959,2015,8,regular,2015-10-24T12:30:00.000Z,,FALSE,TRUE,41486,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,17,0.9940720569947689,103,Boston College,ACC,14,0.00592794300523114,6.08542324659999,Louisville,Boston College,17,14,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,3,2015-10-24,400756959,Louisville,ACC,home,17,365,230,15-26,0,8.8,,,,48,135,1,2.8,18,6,17,0,0,6,3,0,19,0,1,5,1,2,,,,,,2,,4,,8,49,35:57,6-17,0-0,8-49
400756967,2015,9,regular,2015-10-30T19:00:00.000Z,,FALSE,TRUE,24922,3630,BB&T Field,154,Wake Forest,ACC,19,0.02740775097889652,97,Louisville,ACC,20,0.9725922490211035,8.6460459238,Louisville,Wake Forest,20,19,W,36.1306,80.2545,27105,38.2061,85.7588,40209,540044.291553261,540.044291553261,335.567861486741,1,2015-10-30,400756967,Louisville,ACC,away,20,317,249,23-32,2,7.8,4,61,0,42,68,0,1.6,17,5,18,1,1,4,-11,0,34,0,3,8,1,1,,,,,,0,,1,,10,89,34:50,5-18,1-1,10-89
400756976,2015,10,regular,2015-11-07T12:30:00.000Z,,FALSE,TRUE,46158,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,41,0.9998557263306065,183,Syracuse,ACC,17,0.00014427366939351316,2.89783567449999,Louisville,Syracuse,41,17,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,24,2015-11-07,400756976,Louisville,ACC,home,41,579,362,24-36,3,10.1,2,66,1,31,217,1,7.0,23,1,9,1,1,2,-2,0,26,0,2,11,1,3,,,,,,1,,4,,9,84,26:06,1-9,1-1,9-84
400756983,2015,11,regular,2015-11-14T12:30:00.000Z,,FALSE,TRUE,51233,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,38,0.9854837036885999,258,Virginia,ACC,31,0.014516296311400056,5.17759072839999,Louisville,Virginia,38,31,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,7,2015-11-14,400756983,Louisville,ACC,home,38,425,159,11-22,2,7.2,,,,37,266,3,7.2,23,4,9,0,0,1,20,0,45,0,3,8,1,2,,,,,,0,,2,,5,53,26:31,4-9,0-0,5-53
400756991,2015,12,regular,2015-11-21T15:45:00.000Z,,FALSE,TRUE,42119,3752,Heinz Field,221,Pittsburgh,ACC,45,0.9909788415843354,97,Louisville,ACC,34,0.009021158415664643,4.3306128451,Louisville,Pittsburgh,34,45,L,40.4468,80.0158,15212,38.2061,85.7588,40209,553720.042240854,553.720042240854,344.065576367242,-11,2015-11-21,400756991,Louisville,ACC,away,34,354,355,20-38,3,9.3,,,,24,-1,1,-0.0,17,3,13,0,1,2,22,0,41,0,1,10,0,0,,,,,,1,,1,,8,50,22:22,3-13,0-1,8-50
400603916,2015,13,regular,2015-11-28T12:00:00.000Z,,FALSE,FALSE,62512,3683,Commonwealth Stadium,96,Kentucky,SEC,24,0.054925360584860757,97,Louisville,ACC,38,0.9450746394151393,5.78769125319999,Louisville,Kentucky,38,24,W,38.0227,84.5052,40506,38.2061,85.7588,40209,111676.283165537,111.676283165537,69.3924037468531,14,2015-11-28,400603916,Louisville,ACC,away,38,489,175,10-26,1,6.7,1,2,0,40,314,4,7.8,20,6,12,0,0,3,50,0,39,0,3,8,1,0,,,,,,3,,3,,7,46,28:36,6-12,0-0,7-46
,2015,14,,,,,,,,,,,,,,,,,,,,,BYE WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400869341,2016,1,regular,2016-09-01T19:00:00.000Z,,FALSE,FALSE,0,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,70,0.9999412181508617,2429,Charlotte,Conference USA,14,0.00005878184913832296,0.0472769083000005,Louisville,Charlotte,70,14,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,56,2016-09-01,400869341,Louisville,ACC,home,70,663,391,26-35,8,11.2,,,,35,272,2,7.8,37,4,7,0,0,3,-3,0,65,0,3,10,1,2,2,48,7,4,0,1,3,3,0,10,49,29:54,4-7,0-0,10-49
400869429,2016,2,regular,2016-09-09T20:00:00.000Z,,FALSE,TRUE,32184,1964,Carrier Dome,183,Syracuse,ACC,28,0.0037415725418131675,97,Louisville,ACC,62,0.9962584274581868,1.6215582236,Louisville,Syracuse,62,28,W,43.0362,76.1363,13244,38.2061,85.7588,40209,973777.897519953,973.777897519953,605.077345959871,34,2016-09-09,400869429,Louisville,ACC,away,62,845,431,21-40,1,10.8,1,0,0,41,414,7,10.1,30,7,16,0,0,5,13,0,73,0,4,14,1,2,6,68,15,4,1,1,5,3,0,9,100,31:28,7-16,0-0,9-100
